company_number,funding_activity_score,cap_table_score,team_score,debt_score,activity_score,investment_relevance_score,stage_estimate,stage_confidence,why_selected,risk_flags,enriched_at,alignment_score
16728847,0,10,4,0,0,0,pre-seed,medium,"[""at least one director"", ""PSCs present (2)"", ""multiple PSCs""]","[""single-director structure"", ""only incorporation filing"", ""likely shell / trivial structure""]",2026-04-01 12:50:10.804002,4
14240690,0,10,4,0,15,0,unknown,low,"[""at least one director"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]",2026-04-01 12:50:09.724391,29
14399113,0,4,4,0,10,0,unknown,low,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity""]","[""single-director structure""]",2026-04-01 12:50:15.697185,18
16929380,0,4,4,0,0,0,pre-seed,medium,"[""at least one director"", ""PSCs present (1)""]","[""single-director structure"", ""only incorporation filing"", ""likely shell / trivial structure""]",2026-04-01 12:50:11.614153,0
14630231,0,4,4,0,15,0,unknown,low,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]",2026-04-01 12:50:14.02542,23
15192267,0,4,4,0,10,0,unknown,low,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity""]","[""single-director structure""]",2026-04-01 12:50:11.007372,18
16338748,0,10,4,0,10,0,unknown,low,"[""at least one director"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity""]","[""single-director structure""]",2026-04-01 12:50:11.147322,24
15747070,0,4,4,0,10,0,unknown,low,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity""]","[""single-director structure""]",2026-04-01 12:50:12.783834,18
15930282,0,10,10,0,15,0,unknown,low,"[""at least one director"", ""multiple directors"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[],2026-04-01 12:50:10.554833,35
13653330,0,10,10,0,15,0,unknown,low,"[""at least one director"", ""multiple directors"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[],2026-04-01 12:50:12.572312,35
13851891,0,4,4,0,15,0,seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]",2026-04-01 12:50:12.253614,23
15872100,0,4,4,0,5,0,pre-seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation""]","[""single-director structure""]",2026-04-01 12:50:09.872794,13
14176958,0,10,10,0,15,0,unknown,low,"[""at least one director"", ""multiple directors"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[],2026-04-01 12:50:13.051149,35
15142728,0,4,4,0,15,0,unknown,low,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]",2026-04-01 12:50:10.298682,23
17055194,0,13,14,0,0,0,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure""]","[""only incorporation filing""]",2026-04-01 12:50:10.850733,27
16684260,0,4,4,0,0,0,pre-seed,medium,"[""at least one director"", ""PSCs present (1)""]","[""single-director structure"", ""only incorporation filing"", ""likely shell / trivial structure""]",2026-04-01 12:50:10.797397,0
15375283,0,0,4,0,10,0,unknown,low,"[""at least one director"", ""more than incorporation"", ""non-trivial filing activity""]","[""single-director structure"", ""no PSC data""]",2026-04-01 12:50:10.706577,14
15106604,0,4,4,0,15,0,unknown,low,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]",2026-04-01 12:50:13.138112,23
16316510,0,4,4,0,0,0,pre-seed,medium,"[""at least one director"", ""PSCs present (1)""]","[""single-director structure"", ""only incorporation filing"", ""likely shell / trivial structure""]",2026-04-01 12:50:09.533012,0
16724087,0,4,4,0,0,0,pre-seed,medium,"[""at least one director"", ""PSCs present (1)""]","[""single-director structure"", ""only incorporation filing"", ""likely shell / trivial structure""]",2026-04-01 12:50:10.417934,0
14893637,0,4,4,0,15,0,unknown,low,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]",2026-04-01 12:50:10.690505,23
16559507,0,4,4,0,0,0,pre-seed,medium,"[""at least one director"", ""PSCs present (1)""]","[""single-director structure"", ""only incorporation filing"", ""likely shell / trivial structure""]",2026-04-01 12:50:09.91342,0
15927497,0,4,4,0,10,0,unknown,low,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity""]","[""single-director structure""]",2026-04-01 12:50:15.309318,18
15387847,0,10,4,0,10,0,unknown,low,"[""at least one director"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity""]","[""single-director structure""]",2026-04-01 12:50:15.301753,24
14137145,0,4,4,0,15,0,unknown,low,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]",2026-04-01 12:50:10.662436,23
16464114,0,4,4,0,0,0,pre-seed,medium,"[""at least one director"", ""PSCs present (1)""]","[""single-director structure"", ""only incorporation filing"", ""likely shell / trivial structure""]",2026-04-01 12:50:10.107948,0
