company_name,company_number,registered_locality,date_of_creation,primary_sic_category,sic_categories,core_score,cross_ref_promote,alignment_score,combined_score,stage_estimate,stage_confidence,why_selected,risk_flags
RINN THERAPEUTICS LIMITED,SC832066,EDINBURGH,2024-12-17,Biotech,{Biotech},47,f,23,70,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation""]",[]
GEODESY AI LTD,16220756,LONDON,2025-01-31,Deep R&D,"{""Deep R&D""}",46,f,23,69,seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
AXION BIOMED LTD,16288692,LONDON,2025-03-03,Biotech,"{Biotech,HealthTech,MedTech}",46,f,23,69,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation""]",[]
MUOX MICROWAVE TECHNOLOGIES LTD,16189143,OXFORD,2025-01-16,Deep R&D,"{""Deep R&D""}",46,f,23,69,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation""]",[]
STERANCO HEALTHCARE UK LIMITED,15694338,OXFORD.,2024-04-29,MedTech,"{Biotech,MedTech}",46,f,23,69,seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
KIWI AI LIMITED,15229026,LONDON,2023-10-22,Biotech,"{""AI & Software"",Biotech,""Data & Cloud""}",46,f,23,69,seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
SATRAKA LTD,14219698,DIDCOT,2022-07-05,Deep R&D,"{""Deep R&D""}",45,f,23,68,seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
MAHRIN LIMITED,16032909,CAMBRIDGE,2024-10-20,Deep R&D,"{""Deep R&D""}",45,f,23,68,seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
1609 CREATIONS LTD,16065350,STANSTEAD ABBOTTS,2024-11-07,Deep R&D,"{""Deep R&D""}",45,f,23,68,seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
ELLISON SPV 2 LIMITED,16113624,OXFORD,2024-12-02,Deep R&D,"{""Deep R&D""}",45,f,23,68,seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
CREASALLIS LTD,13456191,CAMBRIDGE,2021-06-14,Biotech,{Biotech},45,f,23,68,seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
HYGIENIC WASTE CO. LTD,13741202,LONDON,2021-11-12,Deep R&D,"{CleanTech,""Deep R&D"",Hardware}",45,f,23,68,seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
NEUROLIEVE BIOSCIENCES LTD,15466489,LONDON,2024-02-05,HealthTech,{HealthTech},49,f,19,68,seed,medium,"[""at least one director"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure"", ""no PSC data""]"
BIOLIFE DIAGNOSTICS LTD,13801021,LONDON,2021-12-14,HealthTech,{HealthTech},45,f,23,68,seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
INFINITI RECYCLING LTD,15137181,CAMBRIDGE,2023-09-12,Deep R&D,"{""Deep R&D""}",45,f,23,68,post-seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
RO-ARK AEROSPACE LIMITED,15319796,LONDON,2023-11-30,Hardware,"{""Data & Cloud"",Hardware}",45,f,23,68,post-seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
BIOFONIC LTD,15356770,LONDON,2023-12-16,Deep R&D,"{""Deep R&D""}",45,f,23,68,post-seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
MYCOFEAST LTD,15019866,OXFORD,2023-07-20,Biotech,{Biotech},45,f,23,68,post-seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
HEALTHBOTICS LTD,14822467,LONDON,2023-04-23,Biotech,"{""AI & Software"",Biotech,HealthTech}",45,f,23,68,seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
ESOPHATEC LTD,15986060,WITNEY,2024-09-29,Biotech,{Biotech},45,f,23,68,seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
CGO.BIO LIMITED,16209660,CAMBRIDGE,2025-01-27,Biotech,{Biotech},47,f,19,66,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""more than incorporation""]","[""no PSC data""]"
DIPOLE SYSTEMS LTD,16134184,DIDCOT,2024-12-13,Deep R&D,"{""Deep R&D""}",46,f,20,66,seed,medium,"[""at least one director"", ""multiple directors"", ""more than incorporation"", ""non-trivial filing activity""]","[""no PSC data""]"
TORR ROBOTICS LTD,17072154,Kingsbridge,2026-03-05,Deep R&D,"{""Deep R&D""}",47,f,18,65,seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity""]","[""single-director structure""]"
MOLBREEDING BIOTECHNOLOGY LTD,16038420,LONDON,2024-10-23,Deep R&D,"{""Deep R&D""}",47,f,18,65,post-seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity""]","[""single-director structure""]"
ENN ENERGY TECHNOLOGY UK LTD,16696320,OXFORD,2025-09-04,Deep R&D,"{""Deep R&D""}",46,f,18,64,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)""]","[""only incorporation filing""]"
CAMBRIDGE CARDIOMATRIX LTD,16948293,CAMBRIDGE,2026-01-07,Deep R&D,"{""Deep R&D""}",45,f,18,63,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)""]","[""only incorporation filing""]"
LIFTIQO LTD,16543232,WARE,2025-06-25,Deep R&D,"{""AI & Software"",""Deep R&D""}",45,f,18,63,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)""]","[""only incorporation filing""]"
TRANSFORMATION AND INNOVATION COMPANY LIMITED,16926755,OXFORD,2025-12-22,Deep R&D,"{""Deep R&D""}",45,f,18,63,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)""]","[""only incorporation filing""]"
GENERAL REASONING LTD,16515063,LONDON,2025-06-11,Deep R&D,"{""AI & Software"",""Deep R&D""}",50,f,9,59,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure""]","[""no PSC data"", ""only incorporation filing""]"
SWARM ROBOTICS LTD,SC859162,EDINBURGH,2025-08-14,Deep R&D,"{""Deep R&D""}",49,f,9,58,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure""]","[""no PSC data"", ""only incorporation filing""]"
JANTOMARNA THERAPEUTICS LIMITED,16717863,RUGBY,2025-09-14,Biotech,{Biotech},47,f,9,56,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure""]","[""no PSC data"", ""only incorporation filing""]"
ENDOSCAN HEALTH LTD,16942326,LONDON,2026-01-05,Biotech,"{Biotech,HealthTech}",45,f,9,54,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure""]","[""no PSC data"", ""only incorporation filing""]"
PROOF RELEVANT LTD,16862717,OXFORD,2025-11-17,Deep R&D,"{""AI & Software"",""Deep R&D""}",45,f,9,54,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure""]","[""no PSC data"", ""only incorporation filing""]"
