company_name,company_number,registered_locality,date_of_creation,primary_sic_category,sic_categories,core_score,cross_ref_promote,alignment_score,combined_score,stage_estimate,stage_confidence,why_selected,risk_flags
IONSIGHT ANALYTICS LTD,16148484,OXFORD,2024-12-23,Biotech,{Biotech},46,f,33,79,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
WAVE THERAPEUTICS UK LTD,15755765,GUILDFORD,2024-06-01,MedTech,{MedTech},45,f,34,79,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity""]",[]
MATERIALS ANALYTICA LIMITED,13532243,LONDON,2021-07-26,Deep R&D,"{""Deep R&D""}",50,f,29,79,seed,medium,"[""at least one director"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
APOLLO AP13 LIMITED,13736377,CAMBRIDGE,2021-11-10,Deep R&D,"{""Deep R&D""}",45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
APOLLO AP40 LIMITED,15508393,CAMBRIDGE,2024-02-20,Deep R&D,"{""Deep R&D""}",45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
APOLLO AP48 LIMITED,15494545,CAMBRIDGE,2024-02-16,Deep R&D,"{""Deep R&D""}",45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
BLUE PLANET SOLUTIONS UK LIMITED,16183940,LONDON,2025-01-14,Biotech,"{Biotech,CleanTech}",45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
EFXENTIS LTD,16368458,OXFORD,2025-04-06,Biotech,{Biotech},45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
APOLLO AP30 LIMITED,13737762,CAMBRIDGE,2021-11-11,Deep R&D,"{""Deep R&D""}",45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
APOLLO AP25 LIMITED,13737751,CAMBRIDGE,2021-11-11,Deep R&D,"{""Deep R&D""}",45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
RESPIRO DIAGNOSTICS LIMITED,16447745,LEEDS,2025-05-12,Biotech,"{Biotech,HealthTech}",48,f,30,78,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity""]",[]
APOLLO AP24 LIMITED,13737746,CAMBRIDGE,2021-11-11,Deep R&D,"{""Deep R&D""}",45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
