company_number,core_score,sic_score,keyword_score,cluster_score,recency_score,confidence_band,promotion_reason,promoted_to_enrichment,screened_at,cross_ref_promote,primary_sic_category,sic_categories,keyword_categories,sector_categories
13308295,32,0,15,17,0,low,,t,2026-03-31 15:18:01.478511,f,,{},"{""Advanced Materials""}","{""Advanced Materials""}"
15587065,22,10,12,0,0,low,,t,2026-03-31 15:25:15.097058,f,Advanced Materials,"{""Advanced Materials""}",{},"{""Advanced Materials""}"
16479676,47,26,4,17,0,medium,,t,2026-03-31 15:33:57.812992,f,Biotech,"{""AI & Software"",Biotech,""Deep R&D""}","{""AI & Software""}","{""AI & Software"",Biotech,""Deep R&D""}"
13756306,32,10,22,0,0,low,,t,2026-03-31 15:19:36.456781,f,HealthTech,{HealthTech},{Biotech},"{Biotech,HealthTech}"
13898329,40,20,0,20,0,medium,,t,2026-03-31 15:19:52.090545,f,Hardware,{Hardware},{},{Hardware}
15202091,32,10,22,0,0,low,,t,2026-03-31 15:23:33.458002,f,HealthTech,{HealthTech},{Biotech},"{Biotech,HealthTech}"
17063787,42,25,0,17,0,medium,,t,2026-03-31 15:44:45.627353,f,Deep R&D,"{""AI & Software"",""Data & Cloud"",""Deep R&D""}",{},"{""AI & Software"",""Data & Cloud"",""Deep R&D""}"
17063430,31,0,14,17,0,low,,t,2026-03-31 15:44:45.607996,f,,{},{},{}
17064289,47,25,22,0,0,medium,,t,2026-03-31 15:44:51.145561,f,Deep R&D,"{""Deep R&D""}",{Biotech},"{Biotech,""Deep R&D""}"
17066730,59,20,22,17,0,medium,,t,2026-03-31 15:44:51.276176,f,AI & Software,"{""AI & Software"",""Data & Cloud"",""Deep R&D""}",{},"{""AI & Software"",""Data & Cloud"",""Deep R&D""}"
17063664,34,0,14,20,0,low,,t,2026-03-31 15:44:45.621226,f,,{},{},{}
17069767,47,25,22,0,0,medium,,t,2026-03-31 15:44:51.441479,f,Biotech,{Biotech},{Biotech},{Biotech}
17063812,37,13,4,20,0,low,,t,2026-03-31 15:44:45.627972,f,Space & Aero,"{""Space & Aero""}",{},"{""Space & Aero""}"
17068010,33,4,12,17,0,low,,t,2026-03-31 15:44:51.345685,f,AI & Software,"{""AI & Software""}",{},"{""AI & Software""}"
17069503,46,26,0,20,0,medium,,t,2026-03-31 15:44:51.426025,f,Biotech,"{""AI & Software"",Biotech,HealthTech}",{},"{""AI & Software"",Biotech,HealthTech}"
17069968,43,25,1,17,0,medium,,t,2026-03-31 15:44:51.449724,f,Deep R&D,"{""AI & Software"",""Deep R&D""}",{},"{""AI & Software"",""Deep R&D""}"
SC881124,32,18,14,0,0,low,,t,2026-03-31 15:48:50.080971,f,Hardware,{Hardware},{CleanTech},"{CleanTech,Hardware}"
17085432,42,25,0,17,0,medium,,t,2026-03-31 15:44:57.481185,f,Biotech,{Biotech},{},{Biotech}
17086679,33,8,14,11,0,low,,t,2026-03-31 15:44:57.537499,f,HealthTech,{HealthTech},{},{HealthTech}
16865264,30,8,22,0,0,low,,t,2026-03-31 15:40:33.666124,f,HealthTech,{HealthTech},{Biotech},"{Biotech,HealthTech}"
16324977,43,26,0,17,0,medium,,t,2026-03-31 15:31:39.10945,f,Biotech,{Biotech},{},{Biotech}
16443853,29,0,12,17,0,low,,t,2026-03-31 15:33:21.019824,f,,{},{},{}
13742587,33,0,16,17,0,low,,t,2026-03-31 15:19:35.097844,f,,{},{Biotech},{Biotech}
16755486,33,0,16,17,0,low,,t,2026-03-31 15:38:16.824428,f,,{},{},{}
15728861,32,26,6,0,0,low,,t,2026-03-31 15:26:01.23315,f,Biotech,"{""AI & Software"",Biotech,""Deep R&D""}",{},"{""AI & Software"",Biotech,""Deep R&D""}"
16158140,46,25,4,17,0,medium,,t,2026-03-31 15:29:35.726822,f,Deep R&D,"{""AI & Software"",""Data & Cloud"",""Deep R&D""}",{},"{""AI & Software"",""Data & Cloud"",""Deep R&D""}"
15872511,31,10,10,11,0,low,,t,2026-03-31 15:27:01.009162,f,Deep R&D,"{""Deep R&D""}",{},"{""Deep R&D""}"
16896103,61,25,16,20,0,high,,t,2026-03-31 15:41:06.534766,f,Deep R&D,"{""Deep R&D""}",{Biotech},"{Biotech,""Deep R&D""}"
15877822,37,25,12,0,0,low,,t,2026-03-31 15:27:04.387558,f,Biotech,{Biotech},{},{Biotech}
15634952,33,4,12,17,0,low,,t,2026-03-31 15:25:30.111201,f,Data & Cloud,"{""Data & Cloud""}",{},"{""Data & Cloud""}"
16114234,34,0,14,20,0,low,,t,2026-03-31 15:29:06.625725,f,,{},{},{}
16157318,24,10,14,0,0,low,,t,2026-03-31 15:29:35.615434,f,Deep R&D,"{""Deep R&D""}",{},"{""Deep R&D""}"
13567596,37,25,12,0,0,low,,t,2026-03-31 15:19:03.265788,f,Biotech,{Biotech},{},{Biotech}
17026000,31,0,14,17,0,low,,t,2026-03-31 15:43:55.595173,f,,{},{},{}
15074339,31,0,14,17,0,low,,t,2026-03-31 15:23:03.970408,f,,{},{},{}
16736448,22,10,12,0,0,low,,t,2026-03-31 15:37:53.053643,f,Deep R&D,"{""Deep R&D""}",{},"{""Deep R&D""}"
16623938,43,25,1,17,0,medium,,t,2026-03-31 15:36:06.211092,f,Deep R&D,"{""AI & Software"",""Data & Cloud"",""Deep R&D""}",{},"{""AI & Software"",""Data & Cloud"",""Deep R&D""}"
16807468,39,0,22,17,0,low,,t,2026-03-31 15:39:23.640441,f,,{},{Robotics},{Robotics}
14576799,30,8,22,0,0,low,,t,2026-03-31 15:21:21.76269,f,HealthTech,{HealthTech},{Biotech},"{Biotech,HealthTech}"
16785736,52,26,6,20,0,medium,,t,2026-03-31 15:38:51.964734,f,Space & Aero,"{""Space & Aero""}",{},"{""Space & Aero""}"
17049854,46,21,25,0,0,medium,,t,2026-03-31 15:44:29.065028,f,Hardware,"{""AI & Software"",""Deep R&D"",Hardware}",{Robotics},"{""AI & Software"",""Deep R&D"",Hardware,Robotics}"
15827962,33,4,12,17,0,low,,t,2026-03-31 15:26:41.527501,f,AI & Software,"{""AI & Software"",""Data & Cloud""}",{},"{""AI & Software"",""Data & Cloud""}"
14681585,24,8,16,0,0,low,,t,2026-03-31 15:21:40.31072,f,HealthTech,{HealthTech},{Biotech},"{Biotech,HealthTech}"
16016433,22,10,12,0,0,low,,t,2026-03-31 15:28:11.469535,f,Deep R&D,"{""Deep R&D""}",{},"{""Deep R&D""}"
16471798,42,25,0,17,0,medium,,t,2026-03-31 15:33:47.821835,f,Deep R&D,"{""Deep R&D""}",{},"{""Deep R&D""}"
16262470,29,0,12,17,0,low,,t,2026-03-31 15:30:47.756636,f,,{},{},{}
16602285,59,23,22,14,0,medium,,t,2026-03-31 15:35:46.449205,f,Hardware,"{""Deep R&D"",Hardware}",{Robotics},"{""Deep R&D"",Hardware,Robotics}"
15752547,45,25,0,20,0,medium,,t,2026-03-31 15:26:10.965643,f,Biotech,{Biotech},{},{Biotech}
13583725,42,25,0,17,0,medium,,t,2026-03-31 15:19:05.519364,f,Deep R&D,"{""Deep R&D""}",{CleanTech},"{CleanTech,""Deep R&D""}"
14829884,29,0,12,17,0,low,,t,2026-03-31 15:22:08.573981,f,,{},{},{}
16413070,29,0,12,17,0,low,,t,2026-03-31 15:32:51.880703,f,,{},{},{}
16810005,40,20,0,20,0,medium,,t,2026-03-31 15:39:24.211961,f,AI & Software,"{""AI & Software"",HealthTech}",{},"{""AI & Software"",HealthTech}"
17037719,20,8,12,0,0,low,,t,2026-03-31 15:44:14.430931,f,HealthTech,{HealthTech},{},{HealthTech}
16983208,20,8,12,0,0,low,,t,2026-03-31 15:42:59.003408,f,HealthTech,{HealthTech},{},{HealthTech}
16170637,51,28,6,17,0,medium,,t,2026-03-31 15:29:43.822483,f,Deep R&D,"{""Deep R&D""}",{},"{""Deep R&D""}"
14305701,29,0,12,17,0,low,,t,2026-03-31 15:20:41.538772,f,,{},{},{}
15310630,30,18,12,0,0,low,,t,2026-03-31 15:24:00.121003,f,Hardware,{Hardware},{},{Hardware}
15204153,45,25,0,20,0,medium,,t,2026-03-31 15:23:33.608539,f,Biotech,{Biotech},{},{Biotech}
14110038,24,10,14,0,0,low,,t,2026-03-31 15:20:17.819071,f,Deep R&D,"{""Deep R&D""}",{},"{""Deep R&D""}"
14976087,29,0,12,17,0,low,,t,2026-03-31 15:22:38.888214,f,,{},{},{}
13960938,42,25,0,17,0,medium,,t,2026-03-31 15:19:59.220564,f,Deep R&D,"{""Deep R&D""}",{},"{""Deep R&D""}"
